"purchase_date","Chemists.Drgustores","Clothing","DIY Goods","Eletrical Goods","Food.Consumables","Furniture.Carpets","Garden Products","Household.Textiles","Music, Films.Books","Services","Sports Equipments","Total Sales"
2017-05-17,1942.7,2474.35,982.6,3217.66,NA,2174.02,815.07,6936.17,2729.71,NA,1311.77,22584.05
2017-05-18,2998.97,5655.6,2854.26,2506.7,109.42,1554.82,884.76,4379.86,NA,146.3,1802.06,22941.84
2017-05-19,3259.7,2451.33,2073.11,4396,NA,3283.57,672.5,6025.05,28.01,NA,946.51,23597.06
2017-05-20,1259.21,2690.76,1006.67,1148.54,NA,873.27,220.54,2485.93,492.47,957.15,1331.38,12603.16
2017-05-21,3460.71,2839.25,2023.31,1222.4,109.8,1400.72,289.95,6802.21,345.84,250.43,1470.62,20572.32
2017-05-22,6064.79,716.48,2034.18,4005.86,34.66,2433.02,2182.35,5625.7,915,497.54,3408.15,28546.14
2017-05-23,3270.81,2797.31,1169.4,2269.2,NA,1571.64,509.56,5977.59,1925.81,NA,1024.76,21015.37
2017-05-24,1522.19,4637.56,9763.8,3132.05,46.44,1719.46,736.1,4670.39,586.79,NA,1270.06,28382.2
2017-05-25,557.22,4322.12,1352.47,5163.27,NA,2432.92,693.67,3944.21,31.95,143.12,1344.36,20363.01
2017-05-26,1728.63,436.14,235.28,538.82,NA,1407.81,154.5,6861.57,NA,NA,1392.09,12946.18
2017-05-27,3313.08,3507.81,977.14,706.34,345.14,1684.35,181.29,5116,45.01,NA,507.67,16495.11
2017-05-28,805.09,1443.46,431.59,2125.58,NA,1147.65,380.29,5096.56,235.94,81.21,601.57,12348.94
2017-05-29,1566.84,2071.75,1386.62,1699.73,33.68,2512.83,437.86,8801.86,1152.51,190.76,896.47,21726.34
2017-05-30,1523.62,1316.84,861.52,2609.95,NA,1863.23,85.37,8015.68,160.21,NA,127.1,16980.56
2017-05-31,6905.97,2789.91,1421.83,4257.93,NA,1163.62,354.21,4544.66,470.14,953.05,367.12,23273.54
2017-06-01,2823.18,5825.71,2210.57,4065.07,NA,791.34,966.43,3807.82,NA,204.25,413.37,22425.63
2017-06-02,1844.47,3451.79,4630.99,2709.7,NA,1614.62,511.51,3681.4,441.85,NA,1897.88,21134.85
2017-06-03,2511.76,1089.37,2115.25,1202.99,NA,609.2,758.55,3863.69,84.6,75.08,503.36,12899.33
2017-06-04,1785.05,1462.94,873.46,770.47,NA,869.08,472.33,5797.39,35.69,154.79,2967.61,15701.85
2017-06-05,2779.18,1472.01,3750.35,5457.11,NA,1673.84,778.44,8895.48,112.28,NA,1531.18,26449.87
2017-06-06,1723.61,1832.52,1955.2,1114.92,27.68,1771.71,584.95,6572.97,169.48,NA,1144.25,17483.48
2017-06-07,2191.49,1162.54,936.21,1771.88,NA,945.78,651.11,5615.67,996.29,101.77,1867.92,16306.85
2017-06-08,8540.21,1778.98,505.74,5843.87,NA,726.78,1189.82,5834.96,325.87,153.98,1567.76,26467.97
2017-06-09,2395.7,2398.71,1265.99,3489.52,NA,2114.15,2156.33,1982.16,538.65,NA,3030.85,19523.04
2017-06-10,1045.91,1301.89,95.53,1148.41,NA,818.85,449.76,3580.27,443.33,262.02,582.64,9871.46
2017-06-11,1667.87,4093.41,1456.37,1724.2,124.3,1285.65,569.06,4919.91,496.41,39.68,955.17,17430.37
2017-06-12,1793.98,2247.11,1461.22,3935.14,NA,550.8,626.2,7597.94,279.7,NA,250.52,18755.5
2017-06-13,3255.75,1746.48,2038.33,1730.03,NA,1261.39,398.96,3358.44,391.7,104.91,2019.47,16449.16
2017-06-14,987.26,2821.75,1314.58,5107.59,NA,1684.54,1725.71,10853.03,245.46,NA,2386.65,27173.41
2017-06-15,1367.47,1108.48,788.93,1566.18,NA,511.44,687.01,6541.09,2315.53,NA,761.56,16628.68
2017-06-16,1832.17,1686.26,1405.99,1773.89,171.79,451.64,802.94,5759.79,258.4,127.92,473.34,15106.78
2017-06-17,2401.1,1404.28,335.87,1172.19,NA,306.62,261.04,5326.03,NA,NA,1651.67,12949.77
2017-06-18,1205.58,1393.56,554.72,664.85,NA,1228.21,344.54,11307.91,245.37,NA,876.31,17869.67
2017-06-19,4297.97,1615.31,1134.64,3924.12,NA,2042.36,464.91,10464.64,1279.96,NA,1042.66,26266.57
2017-06-20,2859.91,1222.76,1220.66,1381.71,NA,9779.28,169.83,3590.35,569.15,NA,682.4,21476.05
2017-06-21,278.03,352.88,1416.97,759.55,NA,18.19,552.73,3159.64,440.06,NA,181.77,7199.7
2017-06-22,541.2,1337.56,873.13,1481.59,NA,1088.65,553.71,3312.43,212.19,231.38,611.29,10243.13
2017-06-23,2687.02,1068.76,1141.24,2092.58,NA,1416.19,479.33,4531.71,318.52,170.36,1559.33,15566.73
2017-06-24,540.31,723.03,984.95,346.99,NA,1871.66,NA,3570.28,NA,NA,1665.56,9834
2017-06-25,2486.7,2576.72,3718.02,1441.76,NA,2463.11,35,4459.85,188.84,NA,2441.04,19956.83
2017-06-26,1609.71,469.84,1454,5335.61,NA,840.34,1911.13,2442.09,NA,1422.05,664.32,16299.83
2017-06-27,2638.17,1469.85,1181.27,3644.75,NA,1049.28,181.18,8932.27,447.42,118.76,826.64,20489.59
2017-06-28,1634.19,1670.26,956.43,1696.06,NA,2897.92,306.91,4981.61,1120.21,NA,1598.88,17078.35
2017-06-29,1817.07,526.38,1380.39,725.31,NA,1331.52,657.53,5797.65,367.95,276.08,2022.1,14932.6
2017-06-30,3373.7,1241.46,2351.05,466.91,NA,1260.08,327.19,4449.1,67.3,NA,1511.19,15189.21
2017-07-01,1207.05,2313.87,1651.75,572.59,NA,2739.55,182.28,5119.4,134.94,NA,1449.98,15432.5
2017-07-02,2356.99,585.21,1657.8,1217.88,NA,1796.7,147.67,5866.89,NA,NA,832.26,14522.54
2017-07-03,1440.33,612.2,3061.44,1001.5,57.61,3960.02,482.28,6220.46,40.1,391.73,1736.52,19004.19
2017-07-04,1516.66,1838.72,328.14,2355.97,112.69,1171.82,906.4,8003.91,269.06,276.96,1172.38,17997.6
2017-07-05,2245.11,4263.71,3484.32,1156.51,215.6,3609.32,805.33,8393.85,354.49,NA,988.45,25613.39
2017-07-06,1211.02,2013.15,2420.15,7568.19,NA,1119.65,1413.79,6955.23,90.17,NA,3052.96,25882.03
2017-07-07,1079.6,2086.63,1267.17,2362.49,29.24,1998.96,77.57,5000.42,1070.19,131.31,848.04,16136.94
2017-07-08,2317.78,871.14,1425.52,1116.64,NA,1284.65,NA,4551.62,NA,NA,644.27,12677.16
2017-07-09,825.19,1163.25,478.67,781.4,NA,2642.35,571.6,2804.05,NA,NA,880.93,10291.64
2017-07-10,1314.84,2110.56,2742.2,2785.28,NA,1900.43,929.07,6169.8,562.61,196.01,2157.22,20914.86
2017-07-11,1197.61,2489.93,1936.24,2671.46,171.92,2646.52,1093.31,8952.86,346.5,373.9,1961.02,24323.29
2017-07-12,2134.62,1795.97,1239.71,3000.41,NA,1659.67,152.11,8572.36,1075.78,NA,3033.81,22867.81
2017-07-13,1435.02,1906.31,1247.23,1700.12,172.59,3998.14,175.88,7356.35,286.61,NA,950.86,19468.89
2017-07-14,1842.27,3159.68,2232.56,2682.63,128.04,1945.08,306.25,5904.43,1589.27,1315.6,1245.57,22426.06
2017-07-15,419.54,2106.86,1066.23,808.93,NA,1660.09,1959.77,6002.94,266.92,184.7,545.88,15021.86
2017-07-16,2650.69,2330.28,1269.4,1264.47,NA,1315.89,NA,5048.16,192.37,140.06,2260.55,16542.3
2017-07-17,2487.04,1667.72,1280.93,3548.72,294.06,3192.9,2105.43,11456.65,868.64,NA,1450.53,28729.87
2017-07-18,3098.26,1796.58,1600.09,6093.21,137.3,2630.86,3387.45,11481.44,297.83,35.31,2420.46,33284.88
2017-07-19,1912.19,1567.2,860.18,2721.93,NA,2182.02,2405.52,6468.86,NA,NA,1494.5,19612.4
2017-07-20,2068.25,1622.28,717.89,2266.62,50.2,3764.12,1864.61,9135.46,NA,391.73,740.27,22802.08
2017-07-21,1439.31,2539.84,1060.03,799.2,45.19,1103.02,1835.88,8491.41,NA,187.82,860.16,18361.86
2017-07-22,1491.36,1188.25,996.64,5221.55,119.6,893.57,1107.71,4755.01,167.32,NA,314.52,16305.41
2017-07-23,947.52,1238.29,2211.18,2612.21,NA,1329.59,73.34,3979.56,63.01,79.68,942.77,13816.68
2017-07-24,2135.45,1352.05,1347.36,2921.75,320.65,2500.3,451.21,7984.27,247.76,127.99,2918.57,22355.37
2017-07-25,774.05,1869.23,1188.49,6753.85,161.22,1596.02,705.75,7782.72,276.83,NA,2232.51,23395.67
2017-07-26,1270.12,741.93,202.38,1913.56,NA,2276.26,484.1,6456.65,1115.14,NA,842.81,15405.95
2017-07-27,2983.65,3171.83,998.1,2726.15,NA,1811.61,528.59,5660.15,568.64,21.75,1308.07,19972.14
2017-07-28,6093.25,2336.02,1396.21,957.2,NA,4359.22,667.76,5682.48,323.2,NA,2020.39,23955.8
2017-07-29,1895.7,2510.29,899.42,2561.15,NA,2576.54,NA,5963.48,579.2,51.05,521,17866.44
2017-07-30,908.38,1448.51,1264.07,2020.9,NA,3587.2,301.82,4989.27,NA,NA,1626.47,16173.06
2017-07-31,1070.96,2275.16,891.4,3574.27,155.18,1824.11,609.84,6843.97,1679.51,125.15,2237.98,21330.63
2017-08-01,4764.18,2032.93,2708.83,2043.54,38.27,1787.88,702.12,9250.65,130.56,602.59,2462.32,26523.87
2017-08-02,3041.88,1197.18,1318.2,3600.21,24.35,1638.56,597.71,8834.66,760.06,NA,970.64,22207.71
2017-08-03,2731.77,1648.41,1611.76,2936.31,NA,2433.65,1265.91,8319.68,44,NA,1333.42,22486.88
2017-08-04,805.17,4305.62,857.63,3291.5,NA,2968.01,244.55,7764.54,213.65,225.17,1374.31,22050.15
2017-08-05,798.21,3169.03,869.8,1309.73,223.08,2232.45,388.78,3704.19,NA,76.99,1718.61,14855.39
2017-08-06,927.96,2746.78,1762.26,1158.11,171.79,2070.84,379.39,2978.4,1048.3,NA,2005.05,15485.76
2017-08-07,3694.02,2864.2,2389.85,2696.11,NA,3657.76,2947.04,5482.17,520.38,147.06,3731.32,28204.23
2017-08-08,1644.89,2759.6,1278.74,3062.6,51.27,2724.21,204.99,7203.12,258.62,334.63,2060.32,21702.45
