"purchase_date","salesbyday"
2017-09-19,23718.68
2017-09-20,26190.4
2017-09-21,24323.35
2017-09-22,19219.76
2017-09-23,11530.58
2017-09-24,16089.3
2017-09-25,22427.89
2017-09-26,25291.68
2017-09-27,24770.9
2017-09-28,27218.04
2017-09-29,31544.79
2017-09-30,14365.75
2017-10-01,22233.36
2017-10-02,27172.11
2017-10-03,30784.49
2017-10-04,25119.97
2017-10-05,34004.93
2017-10-06,20964.16
2017-10-07,18028.65
2017-10-08,20039.13
2017-10-09,34018.49
2017-10-10,33196.78
2017-10-11,23748.95
2017-10-12,23174.93
2017-10-13,27523.24
2017-10-14,17079.9
2017-10-15,22115.77
2017-10-16,35619.84
2017-10-17,41828.6
2017-10-18,34567.99
2017-10-19,28458.07
2017-10-20,22623.15
2017-10-21,17976
2017-10-22,23260.01
2017-10-23,26703.8
2017-10-24,26819.54
2017-10-25,21345.23
2017-10-26,26960.83
2017-10-27,24404.53
2017-10-28,19100.88
2017-10-29,23788.31
2017-10-30,23973.31
2017-10-31,27621.52
2017-11-01,22568.75
2017-11-02,26514.96
2017-11-03,27637.99
2017-11-04,23681.97
2017-11-05,21726.2
2017-11-06,33096.57
2017-11-07,26405.93
2017-11-08,23046.12
2017-11-09,29774.53
2017-11-10,23134.28
2017-11-11,27183.32
2017-11-12,28938.14
2017-11-13,30151.45
2017-11-14,31528.39
2017-11-15,28103.91
2017-11-16,35130.4
2017-11-17,36662.99
2017-11-18,28352.31
2017-11-19,24553.41
2017-11-20,52739.48
2017-11-21,48644.4
2017-11-22,30552.17
2017-11-23,51577.19
2017-11-24,193145.3
2017-11-25,77247.16
2017-11-26,55815.27
2017-11-27,62108.67
2017-11-28,59654.57
2017-11-29,49944.94
2017-11-30,36630.36
2017-12-01,49013.47
2017-12-02,36900.5
2017-12-03,36234.75
2017-12-04,53657.45
2017-12-05,46510.48
2017-12-06,46750.54
2017-12-07,34748.22
2017-12-08,34921.14
2017-12-09,24040.48
2017-12-10,29290.91
2017-12-11,40419.32
2017-12-12,40238.47
2017-12-13,34447.73
2017-12-14,30074.2
2017-12-15,31249.64
2017-12-16,23721.11
2017-12-17,22682.64
2017-12-18,33997.53
2017-12-19,24104.04
2017-12-20,31880.86
2017-12-21,21884.1
2017-12-22,16884.31
2017-12-23,14765.17
2017-12-24,6711.87
2017-12-25,12059.38
2017-12-26,25792.1
2017-12-27,22525.68
2017-12-28,17836.88
2017-12-29,20666.26
2017-12-30,15831.78
2017-12-31,10034.26
2018-01-01,9589.34
2018-01-02,30797.77
2018-01-03,38925.69
2018-01-04,41433.72
2018-01-05,33449.72
2018-01-06,37285.81
2018-01-07,33412.7
2018-01-08,47527.18
2018-01-09,38815.79
2018-01-10,44492.04
2018-01-11,47417.65
2018-01-12,39537.24
2018-01-13,32904.28
2018-01-14,36236.3
2018-01-15,45476.09
2018-01-16,53472.95
2018-01-17,42261.59
2018-01-18,35203.33
2018-01-19,33096.66
2018-01-20,28071.27
2018-01-21,27248.91
2018-01-22,45734.54
2018-01-23,42812.32
2018-01-24,41009.03
2018-01-25,35796.3
2018-01-26,41672.79
2018-01-27,28093.73
2018-01-28,27074.19
2018-01-29,38719.75
2018-01-30,40126.32
2018-01-31,38269.29
2018-02-01,37835.23
2018-02-02,32952.8
2018-02-03,28075.97
2018-02-04,29549.69
2018-02-05,45650.57
2018-02-06,41975.87
2018-02-07,36358.29
2018-02-08,33941.12
2018-02-09,35127.72
2018-02-10,25142.51
2018-02-11,25805.5
2018-02-12,29016.08
2018-02-13,29611.24
2018-02-14,45500.03
2018-02-15,38244.77
2018-02-16,32841.8
2018-02-17,29797.42
2018-02-18,29205.11
2018-02-19,34301.92
2018-02-20,42843.02
2018-02-21,37996.59
2018-02-22,38651.65
2018-02-23,33906.81
2018-02-24,28774.81
2018-02-25,35975.84
2018-02-26,52054.92
2018-02-27,48622.69
2018-02-28,54185.48
